ID,CNAE,DESCRICAO
159,08.93-2/00,EXTRAÇÃO DE GEMAS (PEDRAS PRECIOSAS E SEMIPRECIOSAS)
160,08.99-1/01,EXTRAÇÃO DE GRAFITA
161,08.99-1/02,EXTRAÇÃO DE QUARTZO
162,08.99-1/03,EXTRAÇÃO DE AMIANTO
163,08.99-1/99,EXTRAÇÃO DE OUTROS MINERAIS NÃO METÁLICOS NÃO ESPECIFICADOS ANTERIORMENTE
164,09.10-6/00,ATIVIDADES DE APOIO À EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL
165,09.90-4/01,ATIVIDADES DE APOIO À EXTRAÇÃO DE MINÉRIO DE FERRO
166,09.90-4/02,ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS METÁLICOS NÃO FERROSOS
167,09.90-4/03,ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS NÃO METÁLICOS
168,10.11-2/01,FRIGORÍFICO - ABATE DE BOVINOS
169,10.11-2/02,FRIGORÍFICO - ABATE DE EQÜINOS
170,10.11-2/03,FRIGORÍFICO - ABATE DE OVINOS E CAPRINOS
171,10.11-2/04,FRIGORÍFICO - ABATE DE BUFALINOS
172,10.11-2/05,MATADOURO - ABATE DE RESES SOB CONTRATO - EXCETO ABATE DE SUÍNOS
173,10.12-1/01,ABATE DE AVES
174,10.12-1/02,ABATE DE PEQUENOS ANIMAIS
175,10.12-1/03,FRIGORÍFICO - ABATE DE SUÍNOS
176,10.12-1/04,MATADOURO - ABATE DE SUÍNOS SOB CONTRATO
177,10.13-9/01,FABRICAÇÃO DE PRODUTOS DE CARNE
178,10.13-9/02,PREPARAÇÃO DE SUBPRODUTOS DO ABATE
179,10.20-1/01,"PRESERVAÇÃO DE PEIXES, CRUSTÁCEOS E MOLUSCOS"
180,10.20-1/02,"FABRICAÇÃO DE CONSERVAS DE PEIXES, CRUSTÁCEOS E MOLUSCOS"
181,10.31-7/00,FABRICAÇÃO DE CONSERVAS DE FRUTAS
182,10.32-5/01,FABRICAÇÃO DE CONSERVAS DE PALMITO
183,10.32-5/99,"FABRICAÇÃO DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS, EXCETO PALMITO"
184,10.33-3/01,"FABRICAÇÃO DE SUCOS CONCENTRADOS DE FRUTAS, HORTALIÇAS E LEGUMES"
185,10.33-3/02,"FABRICAÇÃO DE SUCOS DE FRUTAS, HORTALIÇAS E LEGUMES, EXCETO CONCENTRADOS"
186,10.41-4/00,"FABRICAÇÃO DE ÓLEOS VEGETAIS EM BRUTO, EXCETO ÓLEO DE MILHO"
187,10.42-2/00,"FABRICAÇÃO DE ÓLEOS VEGETAIS REFINADOS, EXCETO ÓLEO DE MILHO"
188,10.43-1/00,FABRICAÇÃO DE MARGARINA E OUTRAS GORDURAS VEGETAIS E DE ÓLEOS NÃO COMESTÍVEIS DE ANIMAIS
189,10.51-1/00,PREPARAÇÃO DO LEITE
190,10.52-0/00,FABRICAÇÃO DE LATICÍNIOS
191,10.53-8/00,FABRICAÇÃO DE SORVETES E OUTROS GELADOS COMESTÍVEIS
192,10.61-9/01,BENEFICIAMENTO DE ARROZ
193,10.61-9/02,FABRICAÇÃO DE PRODUTOS DO ARROZ
194,10.62-7/00,MOAGEM DE TRIGO E FABRICAÇÃO DE DERIVADOS
195,10.63-5/00,FABRICAÇÃO DE FARINHA DE MANDIOCA E DERIVADOS
196,10.64-3/00,"FABRICAÇÃO DE FARINHA DE MILHO E DERIVADOS, EXCETO ÓLEOS DE MILHO"
197,10.65-1/01,FABRICAÇÃO DE AMIDOS E FÉCULAS DE VEGETAIS
198,10.65-1/02,FABRICAÇÃO DE ÓLEO DE MILHO EM BRUTO
199,10.65-1/03,FABRICAÇÃO DE ÓLEO DE MILHO REFINADO
200,10.66-0/00,FABRICAÇÃO DE ALIMENTOS PARA ANIMAIS
201,10.69-4/00,MOAGEM E FABRICAÇÃO DE PRODUTOS DE ORIGEM VEGETAL NÃO ESPECIFICADOS ANTERIORMENTE
202,10.71-6/00,FABRICAÇÃO DE AÇÚCAR EM BRUTO
203,10.72-4/01,FABRICAÇÃO DE AÇÚCAR DE CANA REFINADO
204,10.72-4/02,FABRICAÇÃO DE AÇÚCAR DE CEREAIS (DEXTROSE) E DE BETERRABA
205,10.81-3/01,BENEFICIAMENTO DE CAFÉ
206,10.81-3/02,TORREFAÇÃO E MOAGEM DE CAFÉ
207,10.82-1/00,FABRICAÇÃO DE PRODUTOS À BASE DE CAFÉ
208,10.91-1/01,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL
209,10.91-1/02,FABRICAÇÃO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE PRODUÇÃO PRÓPRIA
210,10.92-9/00,FABRICAÇÃO DE BISCOITOS E BOLACHAS
211,10.93-7/01,FABRICAÇÃO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES
212,10.93-7/02,"FABRICAÇÃO DE FRUTAS CRISTALIZADAS, BALAS E SEMELHANTES"
213,10.94-5/00,FABRICAÇÃO DE MASSAS ALIMENTÍCIAS
214,10.95-3/00,"FABRICAÇÃO DE ESPECIARIAS, MOLHOS, TEMPEROS E CONDIMENTOS"
215,10.96-1/00,FABRICAÇÃO DE ALIMENTOS E PRATOS PRONTOS
216,10.99-6/01,FABRICAÇÃO DE VINAGRES
217,10.99-6/02,FABRICAÇÃO DE PÓS ALIMENTÍCIOS
218,10.99-6/03,FABRICAÇÃO DE FERMENTOS E LEVEDURAS
219,10.99-6/04,FABRICAÇÃO DE GELO COMUM
220,10.99-6/05,"FABRICAÇÃO DE PRODUTOS PARA INFUSÃO (CHÁ, MATE, ETC.)"
221,10.99-6/06,FABRICAÇÃO DE ADOÇANTES NATURAIS E ARTIFICIAIS
222,10.99-6/07,FABRICAÇÃO DE ALIMENTOS DIETÉTICOS E COMPLEMENTOS ALIMENTARES
223,10.99-6/99,FABRICAÇÃO DE OUTROS PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE
224,11.11-9/01,FABRICAÇÃO DE AGUARDENTE DE CANA DE AÇÚCAR
225,11.11-9/02,FABRICAÇÃO DE OUTRAS AGUARDENTES E BEBIDAS DESTILADAS
226,11.12-7/00,FABRICAÇÃO DE VINHO
227,11.13-5/01,"FABRICAÇÃO DE MALTE, INCLUSIVE MALTE UÍSQUE"
228,11.13-5/02,FABRICAÇÃO DE CERVEJAS E CHOPES
